SM,ST,Temp,Humidity,SR,Rain,PSM
25.86,71.61,71.31,94.13,0,0,25.857414
25.85,71.57,70.62,94.39,0,0,25.847415
25.86,71.53,70.14,94.63,0,0,25.857414
25.86,71.5,68.93,94.88,3.17,0,25.857414
25.85,71.48,68.97,95.43,32.63,0,25.847415
25.86,71.44,71.6,95.73,118.25,0,25.857414
25.84,71.43,74.34,94.76,161,0,25.837416
25.84,71.45,77.93,88.35,417.83,0,25.837416
25.83,71.44,81.35,81.23,555.38,0,25.827417
25.83,71.48,82.88,77.73,476.75,0,25.827417
25.82,71.53,84.69,74.33,704.73,0,25.817418
25.82,71.6,86.52,69.65,669.5,0,25.817418
25.82,71.66,86.71,68.26,721.63,0,25.817418
25.81,71.71,85.15,69.27,159.33,0.01,25.817419
25.81,71.76,85.09,73.97,414.53,0.01,25.817419
25.81,71.78,84.25,73.48,58.88,0,25.807419
25.81,71.81,81.4,80.8,10.38,0,25.807419
25.82,71.81,80.56,81.03,16.08,0,25.817418
25.82,71.8,79.05,84.76,31.63,0,25.817418
25.82,71.76,78.65,87.3,55.25,0,25.817418
25.83,71.75,78.26,87.06,26.63,0,25.827417
25.82,71.71,76.11,88.83,0.25,0,25.817418
25.8,71.66,74.81,90.83,0,0,25.79742
25.81,71.6,74.65,90.63,0,0,25.807419
25.82,71.54,73.31,91.15,0,0,25.817418
25.82,71.48,72.65,88.33,0,0,25.817418
25.81,71.41,73.5,78.56,0,0,25.807419
25.81,71.36,71.9,79.37,0,0,25.807419
25.8,71.31,69.25,83.55,0,0,25.79742
25.78,71.32,66.11,88.14,0,0,25.777422
25.78,71.32,64.09,90.61,0,0,25.777422
25.77,71.37,60.81,91.95,0,0,25.767423
25.77,71.4,58.95,93.15,0,0,25.767423
25.76,71.42,57.13,93.65,10.04,0,25.757424
25.75,71.44,59.05,95.21,82.03,0,25.747425
25.76,71.46,64.15,94.75,194,0,25.757424
25.74,71.47,68.44,85.05,296.42,0,25.737426
25.75,71.51,71.88,70.67,527.21,0,25.747425
25.75,71.51,74.65,65.16,569.43,0,25.747425
25.76,71.51,77.43,56.15,697.63,0,25.757424
25.75,71.49,80.23,49.03,845.63,0,25.747425
25.76,71.47,82.7,44.74,874.96,0,25.757424
25.74,71.46,84,38.36,847.8,0,25.737426
25.74,71.42,85.11,37.04,838.21,0,25.737426
25.75,71.4,85.7,37.96,765.13,0,25.747425
25.75,71.37,85.73,36.55,657.29,0,25.747425
